"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",44.5,1,0,0,1,0,1,1,1,0
"2",21.83,1,0,0,0,0,0,1,0,0
"3",23.85,1,0,1,1,0,0,1,0,0
"4",25.34,1,0,0,0,0,0,1,0,0
"5",21.43,1,0,0,0,0,0,1,0,0
"6",24.87,1,0,0,0,0,0,1,0,0
"7",24.57,1,0,0,0,0,1,1,0,0
"8",19.6,1,0,0,0,0,0,1,0,0
"9",28.53,1,0,0,0,0,0,1,0,0
"10",20.56,1,0,1,1,0,0,1,0,0
"11",19.54,1,0,0,0,0,0,1,0,0
"12",22.19,1,0,0,0,0,0,1,0,0
"13",33.26,1,0,1,0,0,1,1,0,0
"14",30.02,1,0,1,0,0,1,1,1,0
"15",23.82,1,0,1,0,0,0,1,0,0
"16",19.05,1,0,1,1,0,0,1,0,0
"17",27.53,0,0,1,1,0,1,1,0,0
"18",27.5,1,0,1,0,0,0,1,0,0
"19",22.75,1,0,0,0,0,0,1,0,0
"20",22.4,1,0,1,0,0,0,1,0,0
"21",24.55,1,0,0,0,0,0,1,0,0
"22",18.11,0,1,0,0,0,0,1,0,0
"23",27.61,1,0,1,0,0,1,1,0,0
"24",23.45,1,0,1,0,0,1,1,0,0
"25",26.92,1,0,1,0,0,0,1,0,0
"26",21.38,1,0,1,0,0,0,1,0,0
"27",29.78,1,0,1,0,0,0,1,0,0
"28",23.81,1,0,0,0,0,0,1,0,0
"29",21.06,1,0,1,0,0,0,1,0,0
"30",21.3,1,0,0,0,0,0,1,0,0
"31",22.33,1,0,0,0,0,0,1,0,0
"32",25.8,1,0,0,0,0,0,1,0,0
"33",19.29,1,0,1,0,0,1,1,0,0
"34",31.95,0,1,0,0,0,1,1,0,0
"35",21.72,1,0,1,0,0,0,1,0,0
"36",23.04,1,0,0,0,0,0,1,0,0
"37",27.61,1,0,0,0,0,0,1,0,0
"38",31.55,1,0,0,0,0,0,1,0,0
"39",28.62,1,0,1,0,0,0,1,0,0
"40",21.47,1,0,0,0,0,0,1,0,0
"41",21.79,1,0,1,0,0,0,1,0,0
"42",19.25,1,0,0,0,0,0,1,0,0
"43",17.37,1,0,1,0,0,1,1,0,0
"44",24.05,1,0,0,0,0,0,1,0,0
"45",33.12,1,0,1,0,0,0,1,0,0
"46",20.39,1,0,1,0,0,0,1,0,0
"47",19.38,1,0,1,0,0,0,1,0,0
"48",20.36,1,0,1,0,0,0,1,0,0
"49",20.33,1,0,1,0,0,0,1,0,0
"50",22.43,1,0,0,0,0,0,1,0,0
"51",27.52,1,0,1,0,0,0,1,0,0
"52",19.2,1,0,1,0,0,0,1,0,0
"53",17.83,1,0,1,0,0,0,1,0,0
"54",19.21,1,0,1,0,0,0,1,0,0
"55",33.39,1,0,1,0,0,0,1,0,0
"56",26.83,1,0,1,0,0,0,1,0,0
"57",24.63,1,0,1,0,0,0,1,0,0
"58",24.01,1,0,1,0,0,0,1,0,0
"59",21.34,1,0,1,0,0,0,1,0,0
"60",20.23,1,0,0,0,0,0,1,0,0
"61",17.26,1,0,0,0,0,0,1,0,0
"62",19.75,1,0,1,1,0,1,1,0,0
"63",21.28,1,0,0,0,0,0,1,0,0
"64",21.59,1,0,1,0,0,0,1,0,0
"65",21.2,0,1,1,0,0,0,1,0,0
"66",24.76,0,1,1,0,0,0,1,0,0
"67",20.05,1,0,1,0,0,0,1,0,0
"68",22.53,1,0,0,0,0,0,1,0,0
"69",25.87,1,0,0,0,0,0,1,0,0
"70",19.8,0,0,0,0,0,0,1,0,0
"71",17.05,0,1,1,0,0,0,1,0,0
"72",21.98,1,0,0,0,0,0,1,0,0
"73",28.96,1,0,1,0,0,0,1,0,0
"74",24.12,1,0,1,0,0,0,1,0,0
